Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags
Opal ANC Earbuds,Earbuds,6999.0,24999.0,72.0,4.76,38.0,In Stock,"Milky White, Black, Beige","10 10 Sale, compare, defence bestsellers, earbuds, Experience at Zero, extra-off, Hot deals, jinnah-sale, opal, Vision 2026"
Fusion Earbuds,Earbuds,5499.0,11999.0,54.0,4.86,65.0,In Stock,"Blue Black, Black, Red Black, Silver Black","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, fusion, Hot deals, jinnah-sale, Vision 2026"
Bolt Smart Watch,Smart Watch,8999.0,8999.0,0.0,4.68,470.0,Out of Stock,"Pine Green, Vintage Brown, Midnight Blue, Graphite Mauve, Jet Black, Pearl Grey",Unknown
Navigator Smartwatch,Smart Watch,12999.0,32999.0,61.0,4.87,162.0,Out of Stock,"Black Red, Green, Camou Gray, Orange, Beige, Black","10 10 Sale, army, defence bestsellers, defence watches, Experience at Zero, Hot deals, jinnah-sale, lifestyle, navigator, platinum series products, Productivity, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Vision 2026"
Aero Earbuds,Earbuds,3999.0,14999.0,73.0,4.77,439.0,In Stock,"Hyper Red, Jet Black, Space White, Aqua Green, Midnight Blue","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Hot deals, jinnah-sale, sale"
Terra Fit Smartwatch,Smart Watch,6499.0,21999.0,70.0,4.69,268.0,In Stock,"Rose Pink, Jet Black, Silver Grey, Red Berry, Midnight Blue, Olive Green","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, compare, defence bestsellers, defence watches, jinnah-sale, lifestyle, smart watch, smart watch price, smart watch price in pakistan, smartwatch, terra"
Evo Earbuds,Earbuds,3799.0,14999.0,75.0,4.82,673.0,In Stock,"Jet Black, Ruby Red, Milky White, Midnight Blue, Forest Green","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, compare, defence bestsellers, defence-earbuds, earbuds, Evo, Gaming Earbuds, Hot deals, jinnah-sale, Monsoon 1000, Monsoon 2000, Monsoon 500, Productivity, sale"
Visionary Smartwatch,Smart Watch,12999.0,32999.0,61.0,4.79,52.0,In Stock,"Starlight Silicone, Black Silicone, Brown Silicone, Rainbow, Olive Green Silicone, Blue Leather, Orange Silicone","10 10 Sale, defence bestsellers, Hot deals, jinnah-sale, platinum series products, sale, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Vision 2026, visionary"
Zenith Headphones,Headphones,6999.0,16999.0,59.0,4.87,110.0,Out of Stock,"Carbon Black, Midnight Blue, Chocolate Brown","10 10 Sale, compare, defence bestsellers, defence watches, defence-earbuds, Experience at Zero, Hot deals, jinnah-sale, Monsoon 1000, Monsoon 2000, Monsoon 500, Productivity, Summer 1000, Summer 2000, Summer 500, zenith"
Nebula Earbuds,Earbuds,6999.0,12999.0,46.0,4.92,105.0,In Stock,"Royal Blue, Charcoal Black, Creamy Beige","10 10 Sale, defence-earbuds, earbuds, Hot deals, nebula, preorder, sale, Vision 2026"
Lunar 360 Smartwatch,Smart Watch,13999.0,29999.0,53.0,4.92,117.0,In Stock,"Blue Silicone, Black Gold Silicone, Blue Leather, Brown Leather, Green Leather, Grey Silver Silicone, Green Silicone, Black Silicone, Black Leather","10 10 Sale, defence bestsellers, defence watches, Experience at Zero, Hot deals, jinnah-sale, lifestyle, lunar, platinum series products, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Vision 2026"
J-10C Earbuds,Earbuds,7999.0,11999.0,33.0,4.9,42.0,In Stock,"Forest Green, J-10 C Gift Box","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Hot deals, J-10C, pre-order"
Crystal Earbuds,Earbuds,4999.0,13999.0,64.0,4.73,91.0,In Stock,"Pure Black, Rich Brown, Aqua Blue, Midnight Coral","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, compare, crystal, daraz, defence bestsellers, defence-earbuds, delivery, earbuds, Funday Sale, Gaming Earbuds, Hot deals, jinnah-sale, lifestyle, luxury, Monsoon 1000, Monsoon 2000, Monsoon 500, Productivity, sale"
