Product_ID,Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags,Source_URL
8883277168918,Ninja Smartwatch,Smart Watch,"Rs.10,999","Rs.32,000",66% OFF,4.85,104,In Stock,"Camou Green, Camou Gray, Black, Green","10 10 Sale, Summer 2000",https://zerolifestyle.co/products/ninja-smart-watch
9661075390742,Thunder Earbuds,Earbuds,"Rs.4,999","Rs.14,999",67% OFF,4.6,5,Out of Stock,"Forest Green, Aqua Green, Jet Black, White","10 10 Sale, defence bestsellers, earbuds, Funday Sale",https://zerolifestyle.co/products/thunder
9140774240534,Quantum Earbuds,Earbuds,"Rs.5,999","Rs.19,999",70% OFF,4.86,794,In Stock,"Aurora Green, Blazing Red, Jet Black, Glacier Blue, Calm Beige","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Funday Sale, Hot deals, jinnah-sale, Monsoon 1000, sale, Summer 1000",https://zerolifestyle.co/products/quantum-earbuds
8707477045526,Revoltt Smartwatch,Smart Watch,"Rs.11,999","Rs.29,999",60% OFF,4.84,373,Out of Stock,"Gun Metal, Silver, Gold, Blue","10 10 Sale, defence bestsellers, defence watches, Hot deals, luxury, Monsoon 2000, platinum series products, revoltt, sale, Summer 2000",https://zerolifestyle.co/products/revolt-smart-watch
9647181431062,Elite Smartwatch,Smart Watch,"Rs.11,899","Rs.19,999",41% OFF,4.9,148,In Stock,"Starlight, Rose Gold, Black","10 10 Sale, Clearance, defence watches, elite, platinum series products, pre-order, smart watch, smart watch price in pakistan",https://zerolifestyle.co/products/elite-smart-watch
9647448752406,Rover Earbuds,Earbuds,"Rs.4,499","Rs.14,999",70% OFF,4.92,12,Out of Stock,"Forest Green, Aqua Green, White, Jet Black","10 10 Sale, earbuds, Funday Sale",https://zerolifestyle.co/products/rover
9646363934998,Phantom Pro Smartwatch,Smart Watch,"Rs.9,999","Rs.29,998",67% OFF,4.95,20,Out of Stock,"Magnetic Blue Orange, Magnetic Marsala Orange, Ocean Blue Orange, Ocean Gray Orange, Gray Nylon, Magnetic Black, Ocean Black Orange, Green Nylon, Black Nylon","10 10 Sale, Hot deals, phantom, smart watch, smart watch price in pakistan, smartwatch",https://zerolifestyle.co/products/phantom-pro-smart-watch
9418904338710,Vogue Smartwatch,Smart Watch,"Rs.17,999","Rs.35,999",50% OFF,4.9,49,In Stock,"Gold Blue, Black Gold, Black, Silver, Gold Black","10 10 Sale, defence watches, Hot deals, Influencer Video, luxury, Monsoon 2000, platinum series products, pre-order, premium-card, smartwatch",https://zerolifestyle.co/products/vogue-smartwatch
9614704443670,Royale Smartwatch,Smart Watch,"Rs.13,999","Rs.32,999",58% OFF,4.92,71,In Stock,"Titanium Silver, Golden Metal, Black Strap, Blue Strap, Black Metal","10 10 Sale, defence watches, Hot deals, Influencer Video, luxury, premium-card, royale, sale, smartwatch",https://zerolifestyle.co/products/royale-smartwatch
9037782712598,Nova Smartwatch,Smart Watch,"Rs.6,999","Rs.23,499",70% OFF,4.83,84,Out of Stock,"Black, Golden, Blue, Nova Gray, Jet Black, Rainbow","10 10 Sale, Funday Sale",https://zerolifestyle.co/products/nova-smart-watch
9571484631318,Delta Smartwatch,Smart Watch,"Rs.8,999","Rs.29,999",70% OFF,4.76,21,Out of Stock,"Black Gold, Masala Red, Gray Gun Metal","10 10 Sale, smartwatch",https://zerolifestyle.co/products/delta-smartwatch
9513929900310,Pixel Smartwatch,Smart Watch,"Rs.7,999","Rs.24,999",68% OFF,4.96,27,Out of Stock,"Rainbow Gold, Golden, Silver, Black","10 10 Sale, luxury, smartwatch",https://zerolifestyle.co/products/pixel-smartwatch
9418941661462,Infinity Smartwatch,Smart Watch,"Rs.8,999","Rs.23,499",62% OFF,4.93,29,Out of Stock,"Rose Gold, Silver, Black","10 10 Sale, defence watches, Hot deals, smartwatch",https://zerolifestyle.co/products/infinity-smartwatch
9337832866070,Astro Earbuds,Earbuds,"Rs.4,799","Rs.14,999",68% OFF,5.0,38,Out of Stock,"Jet Black, Forest Green, Mauve, Calm Beige","10 10 Sale, defence bestsellers, earbuds",https://zerolifestyle.co/products/astro-earbuds
9217381597462,Meta Smartwatch,Smart Watch,"Rs.6,999","Rs.19,999",65% OFF,4.84,87,Out of Stock,"Black, Silver, Rose Gold","10 10 Sale, sale, smartwatch, Summer 500",https://zerolifestyle.co/products/meta-smart-watch
9023797854486,Matrix Pro AMOLED Smart Watch,Smart Watch,"Rs.12,999","Rs.29,999",57% OFF,4.8,81,Out of Stock,"Forest Green, Gold, Misty Grey, Jet Black, Silver, Black",10 10 Sale,https://zerolifestyle.co/products/matrix-smart-watch
8739979919638,Drift Smart Watch,Smart Watch,"Rs.12,999","Rs.29,000",55% OFF,4.64,59,Out of Stock,"Orange, Red, Blue, Blue Gold, Green Gold, Gold Black, Black","10 10 Sale, Summer 2000",https://zerolifestyle.co/products/drift-smart-watch
